iter	Passed	Remaining
468	724	820
469	725	818
470	731	821
471	732	819
472	733	817
473	734	815
474	735	812
475	736	810
476	737	808
477	738	806
478	739	804
479	740	801
480	741	799
481	744	800
482	745	798
483	746	796
484	748	794
485	749	792
486	750	790
487	751	788
488	752	786
489	753	783
490	754	781
491	755	779
492	755	777
493	760	778
494	761	777
495	763	775
496	764	773
497	765	771
498	766	769
499	767	767
500	768	765
501	769	763
502	770	760
503	771	758
504	774	759
505	776	757
506	777	756
507	778	754
508	779	751
509	780	749
510	781	747
511	782	745
512	782	743
513	783	741
514	784	738
515	785	736
516	786	734
517	790	735
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	799	720
526	800	718
527	801	716
528	805	717
529	806	715
530	807	713
531	808	711
532	809	709
533	810	707
534	812	705
535	812	703
536	813	701
537	814	699
538	815	697
539	816	695
540	820	695
541	821	694
542	822	692
543	824	690
544	825	688
545	826	686
546	826	684
547	827	682
548	828	680
549	829	678
550	830	676
551	831	674
552	833	673
553	835	672
554	837	671
555	838	669
556	839	667
557	840	665
558	841	663
559	842	661
560	843	660
561	844	658
562	845	656
563	846	654
564	851	655
565	852	653
566	854	652
567	855	650
568	856	648
569	857	646
570	858	644
571	859	642
572	860	640
573	861	639
574	862	637
575	866	637
576	867	635
577	868	634
578	869	632
579	870	630
580	871	628
581	872	626
582	873	624
583	874	622
584	875	621
585	876	619
586	879	619
587	881	617
588	882	615
589	883	614
590	884	612
591	886	610
592	887	608
593	888	607
594	889	605
595	890	603
596	891	601
597	895	601
598	896	600
599	897	598
600	898	596
601	899	594
602	900	593
603	901	591
604	902	589
605	903	587
606	904	585
607	906	584
608	910	584
609	911	582
610	914	582
611	915	580
612	915	578
613	916	576
614	917	574
615	919	572
616	919	571
617	920	569
618	921	567
619	924	566
620	926	565
621	929	565
622	931	563
623	933	562
624	935	561
625	940	561
626	942	560
627	943	558
628	944	557
629	945	555
630	947	553
631	948	552
632	949	550
633	950	548
634	955	549
635	957	547
636	958	546
637	959	544
638	961	543
639	962	541
640	963	539
641	964	537
642	965	535
643	966	534
644	967	532
645	970	531
646	972	530
647	973	528
648	974	527
649	975	525
650	976	523
651	978	522
652	979	520
653	980	518
654	985	519
655	987	517
656	988	516
657	989	514
658	991	513
659	992	511
660	994	510
661	995	508
662	997	506
663	998	505
664	999	503
665	1000	501
666	1002	500
667	1003	498
668	1004	497
669	1009	497
670	1010	495
671	1011	493
672	1016	493
673	1017	492
674	1019	490
675	1020	489
676	1025	489
677	1027	487
678	1028	486
679	1029	484
680	1030	482
681	1031	481
682	1033	479
683	1034	477
684	1035	476
685	1042	477
686	1043	475
687	1044	473
688	1045	472
689	1047	470
690	1048	468
691	1049	467
692	1050	465
693	1076	474
694	1078	473
695	1133	495
696	1135	493
697	1136	491
698	1137	489
699	1138	488
700	1139	486
701	1141	484
702	1142	482
703	1143	480
704	1145	479
705	1147	477
706	1148	475
707	1149	474
708	1150	472
709	1152	470
710	1153	468
711	1154	466
712	1155	465
713	1156	463
714	1157	461
715	1159	459
716	1160	458
717	1162	456
718	1163	454
719	1164	452
720	1165	451
721	1166	449
722	1167	447
723	1168	445
724	1186	450
725	1187	448
726	1188	446
727	1220	456
728	1222	454
729	1225	453
730	1226	451
731	1228	449
732	1229	447
733	1230	445
734	1231	443
735	1232	442
736	1233	440
737	1234	438
738	1235	436
739	1236	434
740	1236	432
741	1238	430
742	1240	429
743	1241	427
744	1242	425
745	1243	423
746	1244	421
747	1245	419
748	1246	417
749	1246	415
750	1247	413
751	1248	411
752	1249	409
753	1250	408
754	1251	406
755	1253	404
756	1254	402
757	1256	401
758	1257	399
759	1258	397
760	1259	395
761	1260	393
762	1261	391
763	1262	389
764	1263	388
765	1264	386
766	1265	384
767	1266	382
768	1269	381
769	1271	379
770	1272	377
771	1273	376
772	1274	374
773	1275	372
774	1276	370
775	1277	368
776	1278	366
777	1279	365
778	1280	363
779	1285	362
780	1286	360
781	1287	358
782	1288	357
783	1290	355
784	1291	353
785	1292	351
786	1293	350
787	1294	348
788	1295	346
789	1296	344
790	1299	343
791	1301	341
792	1302	340
793	1303	338
794	1304	336
795	1305	334
796	1306	332
797	1307	330
798	1308	329
799	1309	327
800	1310	325
801	1311	323
802	1313	322
803	1314	320
804	1315	318
805	1316	316
806	1317	315
807	1318	313
808	1319	311
809	1320	309
810	1321	307
811	1322	306
812	1323	304
813	1324	302
814	1325	300
815	1326	299
816	1329	297
817	1330	296
818	1331	294
819	1332	292
820	1333	290
821	1334	288
822	1335	287
823	1336	285
824	1337	283
825	1338	281
826	1340	280
827	1341	278
828	1344	277
829	1345	275
830	1346	273
831	1347	272
832	1348	270
833	1349	268
834	1350	266
835	1351	265
836	1352	263
837	1353	261
838	1354	259
839	1355	258
840	1356	256
841	1358	254
842	1359	253
843	1360	251
844	1361	249
845	1362	248
846	1363	246
847	1364	244
848	1365	242
849	1366	241
850	1367	239
851	1368	237
852	1369	236
853	1370	234
854	1372	232
855	1373	231
856	1374	229
857	1375	227
858	1376	225
859	1377	224
860	1378	222
861	1379	220
862	1380	219
863	1381	217
864	1382	215
865	1383	214
866	1384	212
867	1384	210
868	1385	208
869	1387	207
870	1389	205
871	1390	204
872	1391	202
873	1392	200
874	1393	199
875	1393	197
876	1394	195
877	1396	194
878	1397	192
879	1398	190
880	1399	189
881	1400	187
882	1401	185
883	1403	184
884	1404	182
885	1405	180
886	1406	179
887	1407	177
888	1407	175
889	1408	174
890	1409	172
891	1410	170
892	1411	169
893	1412	167
894	1413	165
895	1414	164
896	1415	162
897	1415	160
898	1418	159
899	1419	157
900	1420	156
901	1421	154
902	1422	152
903	1422	151
904	1423	149
905	1424	147
906	1425	146
907	1426	144
908	1427	142
909	1428	141
910	1429	139
911	1431	138
912	1434	136
913	1435	135
914	1437	133
915	1438	131
916	1439	130
917	1440	128
918	1441	127
919	1442	125
920	1443	123
921	1444	122
922	1445	120
923	1446	118
924	1448	117
925	1449	115
926	1450	114
927	1452	112
928	1453	111
929	1454	109
930	1455	107
931	1456	106
932	1457	104
933	1458	103
934	1459	101
935	1460	99
936	1462	98
937	1463	96
938	1464	95
939	1465	93
940	1466	91
941	1467	90
942	1468	88
943	1468	87
944	1469	85
945	1470	83
946	1471	82
947	1472	80
948	1473	79
949	1474	77
950	1475	76
951	1477	74
952	1478	72
953	1479	71
954	1480	69
955	1481	68
956	1481	66
957	1482	65
958	1483	63
959	1484	61
960	1485	60
961	1486	58
962	1487	57
963	1488	55
964	1489	54
965	1491	52
966	1492	50
967	1493	49
968	1494	47
969	1495	46
970	1496	44
971	1497	43
972	1498	41
973	1499	40
974	1500	38
975	1502	36
976	1503	35
977	1504	33
978	1506	32
979	1506	30
980	1507	29
981	1508	27
982	1509	26
983	1510	24
984	1511	23
985	1512	21
986	1513	19
987	1515	18
988	1516	16
989	1517	15
990	1518	13
991	1520	12
992	1522	10
993	1523	9
994	1525	7
995	1526	6
996	1527	4
997	1528	3
998	1529	1
999	1530	0
